id,plant_name,LL_lon,LL_lat,UR_lon,UR_lat
1,Hideya,134.366044,34.989550,134.375079,34.995826
2,Aioi,134.441990,34.806821,134.451233,34.814180
3,Ohmachi,137.891742,36.477378,137.899346,36.481243
4,Shigacho,136.831995,36.985193,136.838706,36.993860
5,Nantan,135.483326,35.092747,135.496074,35.102199
6,Shirakawa,140.209105,37.184023,140.219815,37.189506
7,Nanbu2,141.312722,40.445970,141.329499,40.454426
8,Hakoishi,141.624769,39.613738,141.635480,39.624820
9,Kasumigaura,140.313432,36.109221,140.324250,36.117123
10,RiemeRJ,136.876077,34.408286,136.887045,34.419061
11,AC23,131.189370,31.471318,131.197232,31.478850
12,Kokufu,131.309497,31.959634,131.329932,31.971112
13,Tsutiura,140.255496,36.094490,140.267957,36.100946
14,Ohse,138.833595,34.622073,138.850217,34.632038
15,Minamata,130.426083,32.195852,130.444607,32.206727
16,Kurokawa,140.959529,38.495329,140.968764,38.506411
17,Tougou,131.486343,32.382399,131.498996,32.390591
18,Katsuura,140.218443,35.122019,140.227710,35.132048
19,Ssatsuma,130.305110,31.467421,130.316076,31.478173
20,Ohoro,144.658081,43.015431,144.676592,43.025039
21,Katsuura,140.269911,35.157622,140.281672,35.165633
22,Ohmuro,139.253467,37.789085,139.269930,37.798742
23,Simokosaba,131.548741,34.110220,131.560321,34.134272
24,Ikachi,132.085375,34.013341,132.099306,34.022442
25,Misaki,134.093063,34.980046,134.103506,34.996658
26,Niimi,133.387882,34.934624,133.402449,34.943531
27,Nankan,130.567669,33.047315,130.578522,33.055105
28,Sano,139.603890,36.369428,139.621309,36.383312
29,Motomiya,140.352379,37.495954,140.364337,37.504824
30,Ichigo,139.105152,36.634914,139.124015,36.647343
31,Ebino,130.771509,32.022367,130.787498,32.030434
32,CSmasuki,130.858790,32.792844,130.873867,32.807992
33,Yamada,135.119270,34.766735,135.129083,34.780524
34,Tsunamise,136.370785,34.624583,136.384147,34.636679
35,Nanao,137.028303,36.981476,137.046736,36.990330
36,Ohsato,140.976842,38.489846,140.991941,38.501664
37,Satsuma,130.500200,31.901960,130.514483,31.917338
38,SFakaiwa,133.987438,34.821616,134.009344,34.838641
39,MinamiYamashiro,136.017775,34.764471,136.036273,34.779740
40,Ashimigawa,136.532294,34.940923,136.560133,34.957286
41,Toyota,137.262680,35.147078,137.279218,35.159495
42,JREaso,131.183643,32.854175,131.211419,32.865143
43,Mobara,140.284574,35.377015,140.305980,35.386414
44,ShinAomori,140.634432,40.819722,140.664880,40.837135
45,MiyaRiver,136.583747,34.420901,136.607442,34.436968
46,Shirakawa,140.231534,37.185603,140.255690,37.196035
47,Hosoe,131.330741,31.894719,131.346461,31.910004
48,Iwakuni,132.073413,34.294812,132.092121,34.320961
49,Kanoya,130.928941,31.449999,130.952343,31.471965
50,Wakayama,135.456306,33.723421,135.475694,33.738999
51,Sakutou,134.217305,34.964813,134.263449,34.994369
52,Taura,139.621760,35.288624,139.630215,35.292814
53,Urushibara,141.436604,38.781940,141.449005,38.791119
54,Tomatou,141.760247,42.693547,141.780545,42.708788
55,EKarumai,141.402206,40.281603,141.438653,40.305983
57,Morioka,141.177051,39.852290,141.195029,39.864045
58,Tohno,141.412673,39.234484,141.424409,39.247896
59,Matsushima,141.045835,38.410186,141.058112,38.423386
60,Marumori,140.743792,37.796739,140.756435,37.805485
61,SoumaDate,140.742317,37.775092,140.760863,37.784479
62,Agano,139.270899,37.795281,139.284971,37.812990
63,Niigata,138.887254,37.836766,138.899103,37.851199
64,Atami,140.274743,37.456407,140.290393,37.471538
65,Saigou,140.075922,37.118430,140.120578,37.143921
66,Iwaki,140.715848,37.013534,140.725036,37.026648
67,Kasama,140.261456,36.415100,140.272598,36.422841
68,Yasunaka,138.927624,36.304387,138.944947,36.314125
69,Anamizu,137.028307,37.207750,137.045233,37.224203
70,Sawakawa,136.837257,36.764502,136.849611,36.780793
71,Hiroshima3,132.773843,34.745899,132.792304,34.759789
72,Hiroshima,132.257861,34.369458,132.279195,34.377722
73,Yanai,132.124157,33.875985,132.136229,33.883653
74,ORMine,131.118254,34.090048,131.132984,34.104076
75,Munakata,130.567796,33.755099,130.579744,33.765243
76,Miyako,130.907928,33.648715,130.921203,33.661807
77,SGETUsa,131.362980,33.505834,131.377420,33.517849
78,CSHijimachi,131.467612,33.364005,131.491469,33.377692
79,Kikuchi,130.901425,32.897859,130.918847,32.902679
80,Hyuga,131.579468,32.243461,131.598791,32.437726
81,Miyakonojyo,131.137537,31.864123,131.148134,31.873018
82,Kamogawa,140.205151,35.145157,140.211909,35.149263
83,Kushihama,140.289036,35.161085,140.298401,35.168686
84,Onjyuku,140.319855,35.174245,140.329381,35.181455
85,FS_Japan,140.286521,35.294166,140.300098,35.300718
86,Yoshizawa,140.177908,35.332947,140.185422,35.342422
87,NRE-23,140.013280,35.338938,140.024846,35.349716
88,SGET_Kisarazu,140.066476,35.371794,140.078943,35.381027
89,Tyounan,140.258499,35.384528,140.272733,35.391352
90,Hannou,139.316969,35.821662,139.323373,35.828529
91,Naka,140.401892,36.492273,140.418218,36.498366
92,Ushiku,140.212859,35.961521,140.227401,35.969754
93,Daigo,140.449928,36.752829,140.457345,36.761976
94,Tochigi,140.096938,36.722080,140.108294,36.735025
95,Kunigihara,140.603400,36.654781,140.611752,36.662513
96,Noval_14,140.622296,36.661274,140.632617,36.667049
97,Nasushiobara,139.950328,36.934088,139.960647,36.940505
98,MinakamiECO,138.927984,36.716828,138.933197,36.722108
99,CSKasama,140.214355,36.387672,140.226674,36.392426
100,Namegata,140.439427,36.084426,140.452234,36.093692
