File,Name,Lower_Left_Lon,Lower_Left_Lat,Upper_Right_Lon,Upper_Right_Lat
B4.kml,秀谷,134.366425,34.989907,134.374525,34.995261
B4.kml,ROIポリゴン,134.366028,34.989530,134.375043,34.995802
B4.kml,aioi,134.443520,34.807449,134.449738,34.813711
B4.kml,aioi_green,134.445838,34.811253,134.446622,34.812483
B4.kml,ライン測定,134.447679,34.807522,134.450416,34.807522
B4.kml,ROIポリゴン,134.441978,34.806809,134.451305,34.814175
B4.kml,poly_1,137.892009,36.478091,137.898856,36.480861
B4.kml,ROIポリゴン,137.891677,36.477355,137.899375,36.481258
B4.kml,250m,138.840797,34.620683,138.851752,34.620684
B4.kml,敷地ポリゴン,136.832135,36.985621,136.836865,36.993757
B4.kml,ROIポリゴン,136.831974,36.985164,136.838732,36.993900
B4.kml,250m,136.835518,36.985389,136.838331,36.985389
B4.kml,poly_1,135.484987,35.094692,135.494276,35.099574
B4.kml,ROIポリゴン,135.483053,35.092677,135.496458,35.102270
B4.kml,poly_1,140.211198,37.184718,140.219335,37.188440
B4.kml,poly_2,140.209581,37.185264,140.211008,37.186841
B4.kml,ROIポリゴン,140.209102,37.184031,140.219869,37.189527
B4.kml,ROIポリゴン,141.312713,40.445944,141.329552,40.454508
B4.kml,poly_1,141.316803,40.447898,141.326088,40.452952
B4.kml,poly_2,141.322826,40.450241,141.324046,40.451473
B4.kml,ROIポリゴン,141.624248,39.613736,141.635934,39.624811
B4.kml,Hakoishi,141.626838,39.616527,141.631865,39.623907
B4.kml,poly_1,140.313616,36.109477,140.318454,36.113475
B4.kml,poly_2,140.314541,36.113507,140.318619,36.117119
B4.kml,poly_3,140.320104,36.112596,140.323508,36.115401
B4.kml,poly_4,140.316199,36.114637,140.316851,36.115625
B4.kml,poly_5,140.316432,36.114460,140.318618,36.116721
B4.kml,poly_6,140.314547,36.114161,140.316440,36.117122
B4.kml,poly_7,140.314605,36.109768,140.315607,36.110365
B4.kml,poly_8,140.317621,36.112198,140.318449,36.113068
B4.kml,ROIポリゴン,140.313391,36.109173,140.324272,36.117225
B4.kml,ROIポリゴン,136.876223,34.408454,136.887131,34.419158
B4.kml,poly_1,136.877692,34.409195,136.883735,34.413698
B4.kml,poly_2,136.879899,34.413602,136.885877,34.418318
B4.kml,ROIポリゴン,131.309254,31.959624,131.330005,31.971128
