File,Name,Lower_Left_Lon,Lower_Left_Lat,Upper_Right_Lon,Upper_Right_Lat
B4.kml,ROIポリゴン,134.366028,34.989530,134.375043,34.995802
B4.kml,ROIポリゴン,134.441978,34.806809,134.451305,34.814175
B4.kml,ROIポリゴン,137.891677,36.477355,137.899375,36.481258
B4.kml,ROIポリゴン,136.831974,36.985164,136.838732,36.993900
B4.kml,ROIポリゴン,135.483053,35.092677,135.496458,35.102270
B4.kml,ROIポリゴン,140.209102,37.184031,140.219869,37.189527
B4.kml,ROIポリゴン,141.312713,40.445944,141.329552,40.454508
B4.kml,ROIポリゴン,141.624248,39.613736,141.635934,39.624811
B4.kml,ROIポリゴン,140.313391,36.109173,140.324272,36.117225
B4.kml,ROIポリゴン,136.876223,34.408454,136.887131,34.419158
B4.kml,ROIポリゴン,131.309254,31.959624,131.330005,31.971128
B4.kml,ROIポリゴン,140.255401,36.094490,140.268147,36.101338
B4.kml,ROIポリゴン,138.833533,34.622004,138.850345,34.632055
B4.kml,ROIポリゴン,130.425911,32.195827,130.444777,32.206920
B4.kml,ROIポリゴン,140.959517,38.495275,140.968754,38.506387
B4.kml,ROIポリゴン,131.486325,32.382365,131.499011,32.390650
B4.kml,ROIポリゴン,130.305110,31.467436,130.316093,31.478173
B4.kml,ROIポリゴン,144.658066,43.015421,144.676586,43.025034
B4.kml,ROIポリゴン,140.269892,35.157611,140.281667,35.165625
B4.kml,ROIポリゴン,139.253412,37.789054,139.269953,37.798776
B4.kml,ROIポリゴン,131.548616,34.110205,131.560320,34.134271
B4.kml,ROIポリゴン,140.352359,37.495948,140.364334,37.504827
B4.kml,ROIポリゴン,139.105129,36.634893,139.124071,36.647345
B4.kml,ROIポリゴン,130.771515,32.022269,130.787518,32.030425
B4.kml,ROIポリゴン,130.858775,32.792733,130.873897,32.807990
B4.kml,ROIポリゴン,135.119262,34.766679,135.129123,34.780577
B4.kml,ROIポリゴン,136.370654,34.624565,136.384204,34.636698
B4.kml,ROIポリゴン,140.976797,38.489772,140.991915,38.501665
B4.kml,ROIポリゴン,130.500199,31.902951,130.514520,31.917335
B4.kml,ROIポリゴン,133.987416,34.821530,134.009339,34.838594
B4.kml,ROIポリゴン,136.017777,34.764440,136.036255,34.779816
B4.kml,ROIポリゴン,136.532200,34.940834,136.560141,34.957462
B4.kml,ROIポリゴン,137.262656,35.147057,137.279212,35.159479
B4.kml,ROIポリゴン,131.183540,32.854110,131.211394,32.865118
B4.kml,ROIポリゴン,140.284535,35.376986,140.306075,35.386446
B4.kml,ROI,140.231497,37.185591,140.255741,37.196052
B4.kml,ROIポリゴン,131.330687,31.894742,131.346488,31.909707
B4.kml,岩国ROIポリゴン,132.073359,34.294729,132.092172,34.320961
B4.kml,ROIポリゴン,135.456335,33.723445,135.475836,33.738942
B4.kml,ROIポリゴン,134.217157,34.964716,134.263467,34.994550
M1.kml,ROIポリゴン,139.621738,35.288630,139.630215,35.292838
M1.kml,ROIポリゴン,140.743887,37.796042,140.757104,37.806229
M1.kml,ROIポリゴン,140.742115,37.775092,140.761011,37.784528
M1.kml,ROIポリゴン,139.270610,37.795318,139.285197,37.813101
M1.kml,ROIポリゴン,138.886131,37.836816,138.899068,37.851259
M1.kml,ROIポリゴン,140.274718,37.456370,140.290307,37.471555
M1.kml,ROIポリゴン,140.074500,37.118497,140.120489,37.143995
M1.kml,ROIポリゴン,140.715682,37.013530,140.725558,37.026706
M1.kml,ROIポリゴン,140.261423,36.411987,140.272589,36.422892
M1.kml,ROIポリゴン,138.927347,36.304392,138.944899,36.314130
M1.kml,ROIポリゴン,137.026678,37.207804,137.045236,37.224307
M1.kml,ROIポリゴン,136.837257,36.764572,136.849963,36.780894
M1.kml,ROIポリゴン,132.773610,34.745833,132.792379,34.759828
M1.kml,ROIポリゴン,139.316826,35.821510,139.323552,35.828563
M1.kml,ROIポリゴン,140.401869,36.492141,140.418439,36.498769
M1.kml,ROIポリゴン,140.212832,35.961367,140.227401,35.969798
M1.kml,ROIポリゴン,140.449906,36.752848,140.457350,36.762046
M1.kml,ROIポリゴン,140.096574,36.722130,140.109204,36.735098
M1.kml,ROIポリゴン,140.602918,36.654614,140.611887,36.662678
M1.kml,ROIポリゴン,140.622223,36.661319,140.632645,36.667132
M1.kml,ROIポリゴン,139.950328,36.934034,139.960697,36.940567
M1.kml,ROIポリゴン,138.927984,36.716828,138.933510,36.722171
M1.kml,ROIポリゴン,140.214337,36.387510,140.226673,36.392459
M1.kml,ROIポリゴン,140.439146,36.084447,140.452395,36.093731
